P000000,VU,12.000000,12,12,12-01-2000,02-08-2023,true,IM0000000
P000001,TRI,12.000000,0,0,12-01-2000,02-08-2023,true,IM0000000
P000002,TRI,12.000000,1,1,12-01-2000,02-08-2023,true,IM0000000
P000003,VU KIM DUY DS,12.000000,12,12,12-01-2000,01-09-2023,true,IM0000001



P000004,VU KIM DUY DS,12.000000,12,12,12-01-2000,02-09-2023,true,IM0000001



P000005,VU KIM DUY DS,12.000000,12,12,12-01-2000,30-09-2023,true,IM0000001


P000006,VU,12.000000,12,12,12-01-2000,30-09-2023,true,IM0000000




P000007,VU,12.000000,0,0,12-01-2000,30-09-2023,true,IM0000002
